iter	Passed	Remaining
811	8856	2050
812	8864	2038
813	8874	2027
814	8879	2015
815	8889	2004
816	8895	1992
817	8905	1981
818	8913	1969
819	8922	1958
820	8928	1946
821	8937	1935
822	8943	1923
823	8953	1912
824	8959	1900
825	8970	1889
826	8978	1878
827	8985	1866
828	8992	1854
829	8999	1843
830	9006	1831
831	9013	1819
832	9019	1808
833	9025	1796
834	9032	1784
835	9038	1773
836	9044	1761
837	9051	1749
838	9058	1738
839	9065	1726
840	9071	1715
841	9079	1703
842	9086	1692
843	9095	1681
844	9104	1670
845	9111	1658
846	9121	1647
847	9126	1635
848	9135	1624
849	9141	1613
850	9148	1601
851	9158	1590
852	9168	1580
853	9177	1569
854	9186	1557
855	9194	1546
856	9201	1535
857	9210	1524
858	9216	1512
859	9222	1501
860	9229	1490
861	9236	1478
862	9244	1467
863	9250	1456
864	9259	1445
865	9264	1433
866	9273	1422
867	9284	1411
868	9290	1400
869	9299	1389
870	9306	1378
871	9316	1367
872	9322	1356
873	9332	1345
874	9339	1334
875	9349	1323
876	9355	1312
877	9365	1301
878	9371	1290
879	9379	1279
880	9387	1268
881	9394	1256
882	9400	1245
883	9408	1234
884	9420	1224
885	9430	1213
886	9440	1202
887	9452	1192
888	9460	1181
889	9466	1170
890	9473	1158
891	9478	1147
892	9485	1136
893	9493	1125
894	9499	1114
895	9508	1103
896	9514	1092
897	9522	1081
898	9529	1070
899	9538	1059
900	9546	1048
901	9555	1038
902	9561	1027
903	9570	1016
904	9576	1005
905	9588	994
906	9595	983
907	9605	973
908	9615	962
909	9622	951
910	9632	941
911	9639	930
912	9649	919
913	9655	908
914	9662	897
915	9668	886
916	9680	876
917	9687	865
918	9693	854
919	9700	843
920	9707	832
921	9713	821
922	9721	811
923	9728	800
924	9736	789
925	9743	778
926	9752	767
927	9762	757
928	9771	746
929	9777	735
930	9786	725
931	9793	714
932	9805	704
933	9816	693
934	9822	682
935	9831	672
936	9837	661
937	9846	650
938	9852	640
939	9862	629
940	9868	618
941	9878	608
942	9884	597
943	9892	586
944	9899	576
945	9908	565
946	9914	554
947	9924	544
948	9934	533
949	9943	523
950	9952	512
951	9957	502
952	9966	491
953	9972	480
954	9980	470
955	9988	459
956	9994	449
957	10003	438
958	10010	427
959	10018	417
960	10024	406
961	10033	396
962	10040	385
963	10047	375
964	10053	364
965	10062	354
966	10071	343
967	10082	333
968	10091	322
969	10098	312
970	10106	301
971	10112	291
972	10122	280
973	10128	270
974	10135	259
975	10142	249
976	10187	239
977	10204	229
978	10215	219
979	10224	208
980	10232	198
981	10253	187
982	10261	177
983	10270	166
984	10277	156
985	10285	146
986	10293	135
987	10303	125
988	10313	114
989	10324	104
990	10337	93
991	10345	83
992	10358	73
993	10370	62
994	10386	52
995	10398	41
996	10407	31
997	10414	20
998	10424	10
999	10438	0
